trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
536630624,5,10/1/2022 4:38,10/1/2022 4:43,3065,39.970699,-75.151711,3166,39.971951,-75.134453,21206,30,One Way,Indego30,electric
536630824,9,10/1/2022 4:46,10/1/2022 4:55,3168,39.95134,-75.173943,3160,39.956619,-75.198624,16950,30,One Way,Indego30,electric
536630924,7,10/1/2022 4:49,10/1/2022 4:56,3244,39.938648,-75.16674,3037,39.954239,-75.161377,16754,30,One Way,Indego30,electric
536658524,8,10/1/2022 5:30,10/1/2022 5:38,3125,39.943909,-75.167351,3256,39.95269,-75.177788,3672,365,One Way,Indego365,standard
536658724,7,10/1/2022 5:39,10/1/2022 5:46,3164,39.928139,-75.165154,3257,39.9216,-75.150002,22821,30,One Way,Indego30,electric
536658824,4,10/1/2022 5:49,10/1/2022 5:53,3264,39.945709,-75.155083,3010,39.947109,-75.166183,11770,30,One Way,Indego30,standard
536686427,8,10/1/2022 6:25,10/1/2022 6:33,3012,39.942181,-75.177467,3020,39.948551,-75.190071,23243,30,One Way,Indego30,electric
536686324,2,10/1/2022 6:26,10/1/2022 6:28,3169,39.953819,-75.142632,3046,39.950119,-75.144722,11018,30,One Way,Indego30,standard
536686425,5,10/1/2022 6:29,10/1/2022 6:34,3068,39.93549,-75.167107,3244,39.938648,-75.16674,14716,365,One Way,Indego365,standard
536686525,7,10/1/2022 6:31,10/1/2022 6:38,3208,39.950481,-75.193237,3024,39.948219,-75.209084,18286,30,One Way,Indego30,electric
536686626,8,10/1/2022 6:33,10/1/2022 6:41,3201,39.955231,-75.166199,3233,39.955009,-75.152077,3627,30,One Way,Indego30,standard
536686625,7,10/1/2022 6:34,10/1/2022 6:41,3201,39.955231,-75.166199,3233,39.955009,-75.152077,11010,30,One Way,Indego30,standard
536686624,9,10/1/2022 6:34,10/1/2022 6:43,3066,39.94561,-75.173477,3208,39.950481,-75.193237,21860,30,One Way,Indego30,electric
536696527,13,10/1/2022 6:51,10/1/2022 7:04,3102,39.96759,-75.17952,3037,39.954239,-75.161377,3363,30,One Way,Indego30,standard
536686924,6,10/1/2022 6:52,10/1/2022 6:58,3024,39.948219,-75.209084,3038,39.947811,-75.194092,22284,30,One Way,Indego30,electric
536696525,7,10/1/2022 6:55,10/1/2022 7:02,3059,39.96244,-75.161209,3088,39.969841,-75.1418,22021,30,One Way,Indego30,electric
536706747,12,10/1/2022 6:55,10/1/2022 7:07,3022,39.95472,-75.183228,3113,39.97472,-75.197807,22502,30,One Way,Indego30,electric
536696524,5,10/1/2022 6:59,10/1/2022 7:04,3063,39.946331,-75.1698,3078,39.953548,-75.171921,11020,365,One Way,Indego365,standard
536713924,6,10/1/2022 7:07,10/1/2022 7:13,3040,39.962891,-75.166061,3190,39.948921,-75.169907,3337,30,One Way,Indego30,standard
536714025,2,10/1/2022 7:13,10/1/2022 7:15,3170,39.94426,-75.181343,3248,39.942131,-75.18335,18675,30,One Way,Indego30,electric
536714024,4,10/1/2022 7:15,10/1/2022 7:19,3248,39.942131,-75.18335,3203,39.940769,-75.172272,18313,30,One Way,Indego30,electric
536714324,8,10/1/2022 7:24,10/1/2022 7:32,3004,39.953781,-75.163742,3187,39.957249,-75.172318,20921,1,One Way,Day Pass,electric
536723642,32,10/1/2022 7:29,10/1/2022 8:01,3007,39.945171,-75.159927,3000,,,21730,365,One Way,Indego365,electric
536714424,5,10/1/2022 7:31,10/1/2022 7:36,3020,39.948551,-75.190071,3163,39.949741,-75.180969,23243,30,One Way,Indego30,electric
536770833,138,10/1/2022 7:33,10/1/2022 9:51,3051,39.967442,-75.175072,3054,39.962502,-75.174202,22756,1,One Way,Day Pass,electric
536714629,12,10/1/2022 7:34,10/1/2022 7:46,3063,39.946331,-75.1698,3167,39.950249,-75.160278,3384,30,One Way,Indego30,standard
536714524,9,10/1/2022 7:35,10/1/2022 7:44,3250,39.95673,-75.145752,3202,39.95134,-75.16758,23311,30,One Way,Indego30,electric
536714627,13,10/1/2022 7:36,10/1/2022 7:49,3053,39.932308,-75.181541,3022,39.95472,-75.183228,22076,30,One Way,Indego30,electric
536714626,9,10/1/2022 7:39,10/1/2022 7:48,3240,39.962769,-75.211853,3208,39.950481,-75.193237,23899,365,One Way,Indego365,electric
536714727,9,10/1/2022 7:43,10/1/2022 7:52,3168,39.95134,-75.173943,3029,39.9538,-75.194794,11919,365,One Way,Indego365,standard
536714625,6,10/1/2022 7:44,10/1/2022 7:50,3156,39.953812,-75.174072,3255,39.950951,-75.164383,5127,30,One Way,Indego30,standard
536714624,3,10/1/2022 7:45,10/1/2022 7:48,3167,39.950249,-75.160278,3037,39.954239,-75.161377,17216,365,One Way,Indego365,electric
536723633,17,10/1/2022 7:46,10/1/2022 8:03,3075,39.967178,-75.161247,3038,39.947811,-75.194092,11714,30,One Way,Indego30,standard
536723632,14,10/1/2022 7:46,10/1/2022 8:00,3038,39.947811,-75.194092,3155,39.940182,-75.154419,22284,30,One Way,Indego30,electric
536714724,7,10/1/2022 7:46,10/1/2022 7:53,3264,39.945709,-75.155083,3063,39.946331,-75.1698,3442,365,One Way,Indego365,standard
536733333,18,10/1/2022 7:49,10/1/2022 8:07,3208,39.950481,-75.193237,3000,,,22557,365,One Way,Indego365,electric
536714830,8,10/1/2022 7:50,10/1/2022 7:58,3163,39.949741,-75.180969,3038,39.947811,-75.194092,16625,30,One Way,Indego30,electric
